time,vt,vts,a,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,distance,vt_,s_,diff_s
2021/12/16 1:15,32,8.888888889,0,0.056432162,0.574592162,-9.724571622,-1.66E-06,0.003528095,0.000167824,281.2161584,-54.29157605,87.22247401,32.7841688,147.2222222,9.181577535,152.1774102,0.967438084
2021/12/16 1:15,32,8.888888889,0,0.039441986,0.527918686,-9.732016857,0.001439471,0.003424257,-0.002209857,309.6772848,-121.2130249,90.13705337,32.78189387,156.1111111,9.221019521,161.3984297,0.967240582
2021/12/16 1:15,32,8.888888889,0,0.042673408,0.524535487,-9.714025316,-0.000172408,0.003555526,-0.001324434,338.1384111,91.47177118,32.43942364,32.77926161,165,9.263692929,170.6621227,0.966822617
2021/12/16 1:15,32,8.888888889,0,0.037695345,0.521597036,-9.706907018,-0.001007091,0.002451382,-0.001712291,238.8160074,189.254948,94.45957438,32.77920724,173.8888889,9.301388274,179.9635109,0.966245257
2021/12/16 1:15,32,8.888888889,0,0.007744411,0.506572808,-9.72938437,-0.000539616,0.001674644,-0.001292411,348.0961048,226.7028623,145.7094842,32.79300904,182.7777778,9.309132685,189.2726436,0.965685132
2021/12/16 1:15,32,8.888888889,0,-0.011377187,0.50233172,-9.72830436,-0.00160972,0.003233627,-0.001297853,263.3832878,299.0648771,123.0703911,32.79383936,191.6666667,9.297755498,198.5703991,0.965232822
2021/12/16 1:15,32,8.888888889,0,0.025700877,0.531984288,-9.708624493,-0.001507589,0.003812425,-0.002423288,301.2746222,-6.520290192,45.20530622,32.79401771,200.5555556,9.323456375,207.8938555,0.964701699
2021/12/16 1:15,32,8.888888889,0,0.043613236,0.556734708,-9.709936375,0.00011325,0.003700194,-0.000792,298.8893809,101.6145143,55.01040069,32.79259838,209.4444444,9.367069611,217.2609251,0.964022612
2021/12/16 1:15,32,8.888888889,0,-0.001709086,0.550599065,-9.716503568,-0.00032134,0.003734378,-0.001192423,296.5041395,124.0252085,66.93426572,32.79771673,218.3333333,9.365360525,226.6262856,0.963406927
2021/12/16 1:15,32,8.888888889,0,-0.047031408,0.544463423,-9.723070761,-0.00075593,0.003768563,-0.001592845,294.1188982,38.2446042,78.85813075,32.80283507,227.2222222,9.318329117,235.9446147,0.963032034
2021/12/16 1:15,32,8.888888889,0,-0.042250975,0.480932075,-9.739219388,-0.002227063,0.004019988,-0.00192455,341.1668083,-61.89849759,-3.527227925,32.81115586,236.1111111,9.276078142,245.2206929,0.962851496
2021/12/16 1:15,32,8.888888889,0,-0.036295915,0.52586362,-9.726708113,0.000629437,0.003746113,-0.001197746,327.6097206,-85.18374046,3.415188535,32.80513789,245,9.239782227,254.4604751,0.962821436
2021/12/16 1:15,32,8.888888889,0,-0.342167186,0.548981943,-9.698678214,-0.000873814,0.003174486,-0.001178871,360.2531114,-67.61006161,64.8353376,32.81241971,253.8888889,8.897615041,263.3580902,0.964044388
2021/12/16 1:15,30,8.333333333,-0.555555556,-0.590880526,0.547113763,-9.736396303,0.001717526,0.00367925,-0.001281184,290.7660201,-73.85840109,66.93530614,32.80981907,262.2222222,8.306734515,271.6648247,0.965241718
2021/12/16 1:15,28,7.777777778,-0.555555555,-0.568573554,0.586481284,-9.710256122,0.003420919,0.003676865,0.003378,372.3038133,-81.10646476,125.2731736,32.81821277,270,7.738160961,279.4029856,0.966346152
