time,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,speed_r,distance_r,ac_r,diff_ac,diff_ax,diff_ay,diff_az,diff_gx,diff_gy,diff_gz
20:51:43,0.811133276,0.773631879,-9.710503259,0.001902293,0.002795121,-0.00044719,45.925537,499.8372018,-48.05709557,30.84720702,3.611111111,9.444444444,0.555555556,0.555555555,0.19080096,-0.021888546,0.538268134,-0.000438168,-1.5079E-05,0.000073912
20:51:44,1.001934236,0.751743333,-9.172235125,0.001464125,0.002780042,-0.000373278,124.3366923,812.4464712,-66.49991483,29.36790878,4.722222222,14.16666667,1.111111111,0.277777778,0.04903244,0.026571167,-0.538901659,0.000644213,-0.000175974,0.0000669
20:51:45,1.050966676,0.7783145,-9.711136784,0.002108338,0.002604068,-0.000306378,45.95494643,1201.343131,-51.3767325,30.89238212,6.111111111,20.27777778,1.388888889,-0.277777778,0.019105255,-0.007468569,0.004408145,-8.513E-05,-2.7443E-05,-0.000142594
20:51:46,1.070071931,0.770845931,-9.706728639,0.002023208,0.002576625,-0.000448972,-6.353272944,1296.836627,-145.7116366,30.90172929,7.222222222,27.5,1.111111111,-0.555555555,-0.001249339,0.003377154,0.007683231,-0.000203856,-0.000733766,-0.000337366
20:51:47,1.068822592,0.774223085,-9.699045408,0.001819352,0.001842859,-0.000786338,37.30847087,1587.179473,-98.49667508,30.92058565,7.777777778,35.27777778,0.555555556,0.833333333,-0.014050702,-9.386E-06,0.006638613,0.000432415,-0.001090407,0.00014279
20:51:48,1.05477189,0.774213699,-9.692406795,0.002251767,0.000752452,-0.000643548,73.66906267,1817.852282,-80.36465468,30.94756816,9.166666667,44.44444444,1.388888889,-0.277777778,-0.022848345,0.000997089,-0.001526841,-0.001023509,-0.000534558,0.000277336
20:51:49,1.031923545,0.775210788,-9.693933636,0.001228258,0.000217894,-0.000366212,5.954767394,2174.164951,-98.1476153,30.96224961,10.27777778,54.72222222,1.111111111,0,-0.035920997,-0.009866089,0.021345006,0.001124454,-0.000277694,-0.000328487
20:51:50,0.996002548,0.765344699,-9.67258863,0.002352712,-5.98E-05,-0.000694699,-43.15454884,2190.801773,-130.1357168,30.97449553,11.38888889,66.11111111,1.111111111,0,-0.031285945,0.001291137,0.000144603,-0.000712561,-0.000783118,-0.000142178
20:51:51,0.964716603,0.766635836,-9.672444027,0.001640151,-0.000842918,-0.000836877,163.8140795,2191.943018,-262.0153702,31.00686877,12.5,78.61111111,1.111111111,0,-0.02970537,0.002699739,0.009619808,0.001184342,-0.00006574,0.000278398
20:51:52,0.935011233,0.769335575,-9.662824219,0.002824493,-0.000908658,-0.000558479,136.3831349,2173.034942,-289.1842149,31.01802747,13.61111111,92.22222222,1.111111111,0,-0.021413108,0.018153566,0.01925186,-0.002063602,-0.000073295,-0.000911724
