x,y
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.277777778,0.452234805
0.833333333,1.227399126
1.944444444,2.277425716
3.055555556,3.337258944
4.166666667,4.414850777
5.277777778,5.489193277
6.388888889,6.562063319
7.222222222,7.634881066
8.333333333,8.6961502
9.444444444,9.751977187
10.55555556,10.80774004
11.66666667,11.85687548
12.77777778,12.88364414
13.88888889,13.63244815
14.72222222,13.96109026
15,14.07574197
15,14.01275801
15,13.94069342
15,13.86584338
15,13.80721864
15,13.74908133
15,13.97766103
15.27777778,14.55889677
15.83333333,15.10143116
16.38888889,15.54500157
16.94444444,15.9266424
17.5,16.29606657
17.77777778,16.64516749
18.05555556,16.97333448
18.33333333,17.27286112
18.88888889,17.54222526
19.16666667,17.74850437
19.44444444,17.82800902
19.44444444,17.83628573
19.44444444,17.78396142
19.44444444,17.67698556
19.72222222,17.51258473
19.72222222,17.24437049
19.44444444,16.99466503
19.44444444,16.81248213
19.72222222,16.69782178
19.72222222,16.53391914
19.72222222,16.22744144
19.44444444,15.91539748
19.44444444,15.65128133
19.44444444,15.43690025
19.44444444,15.22189489
19.16666667,14.99152878
19.16666667,14.76640001
19.16666667,14.64580576
19.16666667,14.59187428
19.16666667,14.53794355
19.16666667,14.32284378
19.16666667,14.03666495
18.88888889,13.61995195
18.33333333,13.18231424
17.77777778,12.69233172
17.22222222,12.15000439
16.38888889,11.58795564
15.83333333,11.01995826
15,10.60044569
14.72222222,10.25692762
14.16666667,9.866416673
13.88888889,9.391803738
13.33333333,8.878747396
12.5,8.389102756
11.94444444,7.938617661
11.38888889,7.507852526
10.83333333,7.048025526
10.27777778,6.585204364
9.722222222,6.125562593
9.166666667,5.678349202
8.611111111,5.228752083
8.333333333,4.735399483
7.777777778,4.202977773
6.944444444,3.639408286
6.388888889,3.06357186
5.833333333,2.476198127
5.277777778,1.889448674
4.722222222,1.308001313
4.166666667,0.723733414
3.611111111,0.134158076
3.333333333,0.452304347
2.777777778,1.030543958
2.222222222,1.604452072
1.666666667,2.153776607
1.111111111,2.52544448
0.833333333,2.833243705
0.555555556,3.117931719
0.277777778,3.112800269
0.277777778,3.137970688
0.277777778,3.262461207
0.277777778,3.516089195
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.277777778,0.402951037
0.833333333,0.931125908
