0,37960,121.3040045,31.273408
5,37955,121.3040565,31.273401
10,37950,121.3041085,31.273395
15,37945,121.3041605,31.273388
20,37940,121.3042125,31.273381
25,37935,121.3042645,31.273374
30,37930,121.3043155,31.273368
35,37925,121.3043675,31.273361
40,37920,121.3044195,31.273354
45,37915,121.3044715,31.273347
50,37910,121.3045235,31.273341
55,37905,121.3045755,31.273334
60,37900,121.3046275,31.273327
65,37895,121.3046795,31.27332
70,37890,121.3047315,31.273314
75,37885,121.3047835,31.273307
80,37880,121.3048345,31.2733
85,37875,121.3048865,31.273293
90,37870,121.3049385,31.273287
95,37865,121.3049905,31.27328
100,37860,121.3050425,31.273273
105,37855,121.3050945,31.273266
110,37850,121.3051465,31.27326
115,37845,121.3051985,31.273253
120,37840,121.3052505,31.273246
125,37835,121.3053025,31.273239
130,37830,121.3053545,31.273233
135,37825,121.3054055,31.273226
140,37820,121.3054575,31.273219
145,37815,121.3055095,31.273212
150,37810,121.3055615,31.273206
155,37805,121.3056135,31.273199
160,37800,121.3056655,31.273192
165,37795,121.3057175,31.273185
170,37790,121.3057695,31.273179
175,37785,121.3058215,31.273172
180,37780,121.3058735,31.273165
185,37775,121.3059245,31.273158
190,37770,121.3059765,31.273152
195,37765,121.3060285,31.273145
200,37760,121.3060805,31.273138
205,37755,121.3061325,31.273131
210,37750,121.3061845,31.273125
215,37745,121.3062365,31.273118
220,37740,121.3062885,31.273111
225,37735,121.3063405,31.273104
230,37730,121.3063925,31.273098
235,37725,121.3064445,31.273091
240,37720,121.3064955,31.273084
245,37715,121.3065475,31.273077
250,37710,121.3065995,31.273071
255,37705,121.3066515,31.273064
260,37700,121.3067035,31.273057
265,37695,121.3067555,31.27305
270,37690,121.3068075,31.273044
275,37685,121.3068595,31.273037
280,37680,121.3069115,31.27303
285,37675,121.3069635,31.273023
290,37670,121.3070145,31.273017
295,37665,121.3070665,31.27301
300,37660,121.3071185,31.273003
305,37655,121.3071705,31.272996
310,37650,121.3072225,31.27299
315,37645,121.3072745,31.272983
320,37640,121.3073265,31.272976
325,37635,121.3073785,31.272969
330,37630,121.3074305,31.272963
335,37625,121.3074825,31.272956
340,37620,121.3075345,31.272949
345,37615,121.3075855,31.272942
350,37610,121.3076375,31.272936
355,37605,121.3076895,31.272929
360,37600,121.3077415,31.272922
365,37595,121.3077935,31.272915
370,37590,121.3078455,31.272909
375,37585,121.3078975,31.272902
380,37580,121.3079495,31.272895
385,37575,121.3080015,31.272888
390,37570,121.3080535,31.272882
395,37565,121.3081045,31.272875
400,37560,121.3081565,31.272868
405,37555,121.3082085,31.272861
410,37550,121.3082605,31.272855
415,37545,121.3083125,31.272848
420,37540,121.3083645,31.272841
425,37535,121.3084165,31.272834
430,37530,121.3084685,31.272828
435,37525,121.3085205,31.272821
440,37520,121.3085725,31.272814
445,37515,121.3086245,31.272807
450,37510,121.3086755,31.272801
455,37505,121.3087275,31.272794
460,37500,121.3087795,31.272787
465,37495,121.3088315,31.27278
470,37490,121.3088835,31.272774
475,37485,121.3089355,31.272767
480,37480,121.3089875,31.27276
485,37475,121.3090395,31.272753
490,37470,121.3090915,31.272747
495,37465,121.3091435,31.27274
500,37460,121.3091945,31.272733
505,37455,121.3092465,31.272726
510,37450,121.3092985,31.27272
515,37445,121.3093505,31.272713
520,37440,121.3094025,31.272706
525,37435,121.3094545,31.272699
530,37430,121.3095065,31.272693
535,37425,121.3095585,31.272686
540,37420,121.3096105,31.272679
545,37415,121.3096625,31.272672
550,37410,121.3097135,31.272666
555,37405,121.3097655,31.272659
560,37400,121.3098175,31.272652
565,37395,121.3098695,31.272645
570,37390,121.3099215,31.272639
575,37385,121.3099735,31.272632
580,37380,121.3100255,31.272625
585,37375,121.3100775,31.272618
590,37370,121.3101295,31.272612
595,37365,121.3101815,31.272605
600,37360,121.3102335,31.272598
605,37355,121.3102845,31.272591
610,37350,121.3103365,31.272585
615,37345,121.3103885,31.272578
620,37340,121.3104405,31.272571
625,37335,121.3104925,31.272564
630,37330,121.3105445,31.272558
635,37325,121.3105965,31.272551
640,37320,121.3106485,31.272544
645,37315,121.3107005,31.272537
650,37310,121.3107525,31.272531
655,37305,121.3108035,31.272524
660,37300,121.3108555,31.272517
665,37295,121.3109075,31.27251
670,37290,121.3109595,31.272504
675,37285,121.3110115,31.272497
680,37280,121.3110635,31.27249
685,37275,121.3111155,31.272483
690,37270,121.3111675,31.272477
695,37265,121.3112195,31.27247
700,37260,121.3112715,31.272463
705,37255,121.3113235,31.272456
710,37250,121.3113745,31.27245
715,37245,121.3114265,31.272443
720,37240,121.3114785,31.272436
725,37235,121.3115305,31.272429
730,37230,121.3115825,31.272423
735,37225,121.3116345,31.272416
740,37220,121.3116865,31.272409
745,37215,121.3117385,31.272402
750,37210,121.3117905,31.272396
755,37205,121.3118425,31.272389
760,37200,121.3118935,31.272382
765,37195,121.3119455,31.272375
770,37190,121.3119975,31.272369
775,37185,121.3120495,31.272362
780,37180,121.3121015,31.272355
785,37175,121.3121535,31.272348
790,37170,121.3122055,31.272342
795,37165,121.3122575,31.272335
800,37160,121.3123095,31.272328
805,37155,121.3123615,31.272321
810,37150,121.3124135,31.272315
815,37145,121.3124645,31.272308
820,37140,121.3125165,31.272301
825,37135,121.3125685,31.272294
830,37130,121.3126205,31.272288
835,37125,121.3126725,31.272281
840,37120,121.3127245,31.272274
845,37115,121.3127765,31.272267
850,37110,121.3128285,31.272261
855,37105,121.3128805,31.272254
860,37100,121.3129325,31.272247
865,37095,121.3129835,31.27224
870,37090,121.3130355,31.272234
