56:40.9,40,0.00085,0.001128,0.000542,,-0.407714,-9.785533,562.461609,-414.456726,238.777542,24.633278,101325.0,24.633278,897537.0,0
56:41.0,40,0.000228,0.000684,0.000542,,-0.438402,-9.772779,562.461609,-414.456726,238.777542,24.706245,101325.0,24.706245,997537.0,0
56:41.1,40,0.000672,0.000418,0.000809,,-0.355106,-9.765804,562.461609,-414.456726,238.777542,24.683599,101325.0,24.683599,1097537.0,0
56:41.3,40,-3.8e-05,0.000684,0.000187,,-0.423656,-9.761023,582.083435,-593.962158,217.232468,24.696178,101325.0,24.696178,1297537.0,0
56:41.4,40,0.000672,0.000951,-0.000257,,-0.407315,-9.756638,582.083435,-593.962158,217.232468,24.755938,101325.0,24.755938,1397537.0,0
56:41.5,40,0.000494,0.000684,0.000542,,-0.381609,-9.74807,582.083435,-593.962158,217.232468,24.840227,101325.0,24.840227,1497537.0,0
56:41.6,40,0.000228,0.000418,-0.000612,,-0.383203,-9.746874,582.083435,-593.962158,217.232468,24.848404,101325.0,24.848404,1597537.0,0
56:41.7,40,0.000672,0.001306,0.000454,,-0.443583,-9.74807,584.344543,-723.673096,205.672882,24.762228,101325.0,24.762228,1697537.0,0
56:41.8,40,0.000672,0.000329,9.9e-05,,-0.415486,-9.727146,587.381775,-699.639709,201.569,24.87042,101325.0,24.87042,1797537.0,0
56:41.9,40,-0.000393,0.000684,0.00072,,-0.402732,-9.739501,593.24231,-698.216797,195.532227,24.811291,101325.0,24.811291,1897537.0,0
56:42.2,40,-0.00066,5.9e-05,-0.000448,,-0.415685,-9.753052,585.814514,-714.79657,196.707275,25.044662,101325.0,25.044662,2250037.0,0
56:42.3,40,-0.000572,-0.000296,-0.00036,,-0.409507,-9.752653,585.814514,-714.79657,196.707275,25.026421,101325.0,25.026421,2350037.0,0
56:42.4,40,-0.000749,0.000592,-0.000448,,-0.395359,-9.750062,585.814514,-714.79657,196.707275,25.091839,101325.0,25.091839,2450037.0,0
56:42.5,40,0.000316,5.9e-05,-4e-06,,-0.419272,-9.751856,580.924377,-545.479797,233.367798,25.014467,101325.0,25.014467,2550037.0,0
56:42.7,40,5e-05,-0.000384,-0.001158,,-0.41429,-9.74528,576.770447,-491.297485,232.839371,25.123291,101325.0,25.123291,2750037.0,0
56:42.9,40,0.000405,0.000148,0.000795,,-0.376428,-9.740099,570.664917,-530.608154,225.978806,25.209465,101325.0,25.209465,2950037.0,0
56:43.0,40,-0.000128,0.000237,0.000262,,-0.453945,-9.750063,576.852417,-482.117279,240.628036,25.241545,101325.0,25.241545,3050037.0,0
56:43.2,40,-0.000749,-2.9e-05,-0.000182,,-0.382008,-9.732128,565.196594,-458.101166,239.496384,25.27866,101325.0,25.27866,3250037.0,0
56:43.3,40,-0.000749,0.000592,0.000795,,-0.37583,-9.723758,577.174194,-421.020569,246.34465,25.27174,101325.0,25.27174,3350037.0,0
56:43.4,40,-0.000217,0.000237,-0.000271,,-0.418873,-9.723559,576.944702,-462.547333,240.233749,25.2969,101325.0,25.2969,3450037.0,0
56:43.5,40,-0.000217,0.000326,-0.000182,,-0.413692,-9.730335,574.631348,-484.402191,239.812408,25.34219,101325.0,25.34219,3550037.0,0
56:43.6,40,-0.000217,-0.000384,-0.000537,,-0.38958,-9.722363,578.063904,-527.445312,232.168259,25.339672,101325.0,25.339672,3650037.0,0
56:43.7,40,0.000316,0.000237,8.4e-05,,-0.401138,-9.70961,577.760254,-581.819397,223.531265,25.31011,101325.0,25.31011,3750037.0,0
56:43.8,40,-0.000217,-0.000562,0.000972,,-0.371247,-9.715788,569.969604,-663.346863,214.347595,25.374901,101325.0,25.374901,3850037.0,0
56:43.9,40,-0.000305,5.9e-05,-4e-06,,-0.381011,-9.729537,585.830322,-722.130981,207.232483,25.451012,101325.0,25.451012,3950037.0,0
